COORDENADAS CIMENTACION PILOTES
PILOTE,X,Y,TIPO
P01,447369.07,4465462.33,1
P02,447374.06,4465462.65,1
P03,447379.05,4465462.97,1
P04,447371.039,4465456.623,1
P05,447375.868,4465457.896,1
P06,447380.7,4465459.17,1
P07,447385.54,4465460.448,1
P08,447390.35,4465461.82,1
P09,447395.155,4465463.188,1
P10,447399.965,4465464.559,1
P11,447404.771,4465465.927,1
P12,447409.581,4465467.297,1
P13,447414.391,4465468.667,5
P14,447419.201,4465470.037,5
P15,447424.01,4465471.41,2
P16,447428.82,4465472.78,2
P17,447433.625,4465474.149,2
P18,447438.431,4465475.517,2
P19,447443.241,4465476.887,2
P20,447448.051,4465478.257,3
P21,447452.861,4465479.627,3
P22,447457.67,4465481.0,3
P23,447462.481,4465482.367,5
P24,447467.286,4465483.736,5
P25,447472.096,4465485.106,5
P26,447476.901,4465486.475,5
P27,447481.711,4465487.845,5
P28,447486.521,4465489.217,6
P29,447491.331,4465490.587,6
P30,447496.141,4465491.957,6
P31,447500.951,4465493.327,6
P32,447505.756,4465494.696,7
P33,447510.561,4465496.065,7
P34,447515.371,4465497.435,7
P35,447520.18,4465498.804,7
P36,447524.99,4465500.174,7
P37,447531.576,4465477.056,4
P38,447526.799,4465475.583,4
P39,447522.02,4465474.107,4
P40,447517.241,4465472.626,4
P41,447512.46,4465471.15,4
P42,447507.685,4465469.675,4
P43,447502.905,4465468.2,4
P44,447498.13,4465466.722,4
P45,447493.35,4465465.244,3
P46,447488.57,4465463.785,3
P47,447483.749,4465462.454,3
P48,447478.931,4465461.115,3
P49,447474.109,4465459.784,3
P50,447469.291,4465458.445,3
P51,447464.469,4465457.114,3
P52,447459.651,4465455.775,3
P53,447454.836,4465454.446,3
P54,447450.013,4465453.115,3
P55,447445.201,4465451.777,2
P56,447440.378,4465450.447,2
P57,447435.561,4465449.107,2
P58,447430.739,4465447.777,2
P59,447425.921,4465446.435,2
P60,447421.101,4465445.105,5
P61,447416.279,4465443.774,5
P62,447411.466,4465442.436,1
P63,447406.643,4465441.105,1
P64,447401.831,4465439.767,1
P65,447397.009,4465438.437,1
P66,447392.191,4465437.098,1
