PUNTO (1),,
x,y,z
293.913,3048.652,176.967
295.381,3048.34,176.922
296.359,3048.132,176.892
299.38,3047.483,176.799
302.421,3046.832,176.706
305.451,3046.177,176.613
308.48,3045.519,176.52
311.509,3044.858,176.427
314.587,3044.194,176.334
317.564,3043.527,176.241
320.591,3042.856,176.148
323.616,3042.182,176.055
326.642,3041.504,175.962
328.788,3041.021,175.896
330.934,3040.537,175.83
331.519,3040.405,175.812
333.226,3040.018,175.76
335.177,3039.575,175.7
336.395,3039.297,175.662
337.614,3039.019,175.625
339.564,3038.573,175.565
341.269,3038.181,175.512
345.118,3037.293,175.394
348.966,3036.401,175.275
352.812,3035.502,175.157
356.658,3034.599,175.038
360.502,3033.691,174.92
363.372,3033.009,174.831
366.241,3032.324,174.743
369.11,3031.636,174.654
371.978,3030.945,174.566
374.845,3030.251,174.477
376.983,3029.732,174.411
379.121,3029.212,174.345
379.703,3029.069,174.327
381.404,3028.654,174.275
383.346,3028.177,174.215
384.559,3027.878,174.177
385.773,3027.58,174.14
387.715,3027.1,174.08
389.414,3026.679,174.027
393.247,3025.726,173.909
397.079,3024.767,173.79
400.91,3023.804,173.672
404.739,3022.835,173.553
408.567,3021.861,173.435
411.425,3021.13,173.346
414.282,3020.397,173.258
417.139,3019.66,173.169
419.994,3018.92,173.081
422.849,3018.178,172.992
424.978,3017.622,172.926
427.106,3017.064,172.86
427.687,3016.913,172.842
429.38,3016.468,172.79
431.314,3015.959,172.73
432.522,3015.639,172.692
433.731,3015.32,172.655
435.664,3014.807,172.595
437.355,3014.357,172.542
441.172,3013.339,172.424
444.986,3012.315,172.305
448.8,3011.286,172.186
452.612,3010.252,172.068
456.423,3009.213,171.949
459.268,3008.433,171.861
462.113,3007.651,171.772
464.956,3006.865,171.684
467.799,3006.078,171.595
470.641,3005.286,171.507
472.76,3004.695,171.444
474.878,3004.101,171.375
475.456,3003.939,171.357
477.141,3003.466,171.304
479.066,3002.924,171.244
480.269,3002.584,171.207
481.472,3002.244,171.169
483.396,3001.699,171.109
485.079,3001.221,171.057
488.878,3000.139,170.938
492.676,2999.052,170.82
496.472,2997.96,170.701
500.267,2996.865,170.583
504.06,2995.764,170.464
506.893,2994.939,170.376
509.724,2994.112,170.287
512.555,2993.282,170.199
515.385,2992.45,170.11
518.215,2991.615,170.022
520.325,2990.991,169.956
522.438,2990.366,169.89
523.009,2990.196,169.872
524.687,2989.697,169.819
526.604,2989.127,169.759
527.801,2988.769,169.722
529,2988.412,169.684
530.916,2987.839,169.624
532.592,2987.337,169.572
536.375,2986.2,169.453
540.156,2985.06,169.335
543.987,2983.917,169.216
547.717,2982.769,169.098
551.496,2981.618,168.979
554.317,2980.756,168.891
557.187,2979.891,168.802
559.958,2979.026,168.714
562.777,2978.157,168.625
565.596,2977.288,168.537
567.697,2976.638,168.471
569.799,2975.987,168.405
570.372,2975.809,168.387
572.044,2975.291,168.334
573.954,2974.697,168.274
575.147,2974.326,168.237
576.341,2973.954,168.199
578.25,2973.359,168.139
579.92,2972.837,168.087
583.69,2971.658,167.968
587.459,2970.475,167.85
591.227,2969.29,167.731
594.994,2968.101,167.613
598.76,2966.911,167.494
601.572,2966.019,167.406
604.384,2965.126,167.317
607.195,2964.233,167.229
610.006,2963.337,167.14
612.816,2962.44,167.052
614.911,2961.77,166.986
617.007,2961.099,166.92
617.578,2960.916,166.902
619.245,2960.382,166.849
621.149,2959.771,166.789
622.339,2959.389,166.752
623.529,2959.007,166.714
625.433,2958.394,166.654
627.099,2957.858,166.602
630.858,2956.645,166.483
634.618,2955.432,166.365
638.376,2954.215,166.246
642.133,2952.997,166.128
645.89,2951.777,166.009
648.695,2950.864,165.921
651.501,2949.952,165.832
654.305,2949.037,165.744
657.11,2948.122,165.655
659.913,2947.205,165.567
662.004,2946.521,165.501
664.095,2945.836,165.435
664.665,2945.65,165.417
666.329,2945.105,165.364
668.229,2944.482,165.304
669.417,2944.092,165.267
670.605,2943.702,165.229
